IKN,İhale Kayıt No,İhale Adı,İhale Türü - Usulü,Kısmi Teklif,İhale Branş Kodları (OKAS),İhale Onay Tarihi,İlanın Şekli,İşin Yapılacağı Yer,İhale Yeri - Tarihi - Saati,İhale Durumu,Bağlı Olduğu En Üst İdare,Bağlı Olduğu İdare,İhaleyi Yapan İdare Adı,İdarenin İli,İdare Adı,İlk,Yaklaşık Maliyet,Yabancı Para Birimi Cinsinden Yaklaşık Maliyet,Sözleşme Tarihi,En Yüksek Teklif,En Düşük Teklif,Devir Bilgisi,Fesih Tarihi,Fesih Nedeni,İlk_parsed,Yaklaşık Maliyet_parsed,En Düşük Teklif_parsed,En Yüksek Teklif_parsed,pct_lowest_vs_estimate,pct_bid_spread,IhaleYeri_location,IhaleYeri_datetime
2023/1393861,2023/1393861e-ihale,Jandarma Ek Hizmet Binası Yapım İşi,Yapım - Pazarlık - Pazarlık (MD 21 B),Verilemez,45000000,04.12.2023,Sonuç İlanı,Samandağ/HATAY,Hatay Valiliği Yatırım İzleme ve Koordinasyon Başkanlığı Mustafa Kemal Üniversitesi Tayfur Sökmen Kampüsü Geçici Yerleşkesi - 06.12.2023 16:00,Sonuç İlanı Yayımlanmış,YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIKLARI,HATAY YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIĞI,YATIRIM İZLEME MÜDÜRLÜĞÜ YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIKLARI HATAY YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIĞI,HATAY,,"3.000.000,00 TRY","3.026.306,05 TRY",,19.12.2023,"3.588.000,00 TRY","3.000.000,00 TRY",Yok,,,3000000,3026306.05,3000000,3588000,-0.8692461887653371,19.6,Hatay Valiliği Yatırım İzleme ve Koordinasyon Başkanlığı Mustafa Kemal Üniversitesi Tayfur Sökmen Kampüsü Geçici Yerleşkesi,06.12.2023 16:00
2023/1378993,2023/1378993e-ihale,Antakya İlçesi Gülderen Mahallesi 2313 Adet Konut Bölgesi İlkokul Yapım İşi,Yapım - Pazarlık - Pazarlık (MD 21 B),Verilemez,45000000,29.11.2023,Sonuç İlanı,Antakya/HATAY,Hatay Valiliği Yatırım İzleme ve Koordinasyon Başkanlığı Mustafa Kemal Üniversitesi Tayfur Sökmen Kampüsü Geçici Yerleşkesi - 01.12.2023 16:30,Sonuç İlanı Yayımlanmış,YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIKLARI,HATAY YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIĞI,YATIRIM İZLEME MÜDÜRLÜĞÜ YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIKLARI HATAY YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIĞI,HATAY,,"78.750.000,00 TRY","84.706.483,11 TRY",,29.12.2023,"99.987.000,00 TRY","78.750.000,00 TRY",Yok,,,78750000,84706483.11,78750000,99987000,-7.031909354877712,26.967619047619046,Hatay Valiliği Yatırım İzleme ve Koordinasyon Başkanlığı Mustafa Kemal Üniversitesi Tayfur Sökmen Kampüsü Geçici Yerleşkesi,01.12.2023 16:30
2023/1298131,2023/1359874e-ihale,4 KISIM MUHTELİF  YAPIM İŞİ,Yapım - Pazarlık - Pazarlık (MD 21 B),Verilebilir,452100001,24.11.2023,Sonuç İlanı,ANTAKYA-ALTINÖZÜ-PAYAS-ERZİN- VE YAYLADAĞI,Hatay İl Sağlık Müdürlüğü - Güzelburç Mah. Cabirağa Sk. No:78 | Antakya/Hatay  - 29.11.2023 14:30,Sonuç İlanı Yayımlanmış,SAĞLIK BAKANLIĞI,BAKAN YARDIMCILIKLARI,İl Sağlık Müdürlüğü SAĞLIK BAKANLIĞI BAKAN YARDIMCILIKLARI,HATAY,,"475.000,00 TRY","485.806,20 TRY",,14.12.2023,"570.000,00 TRY","475.000,00 TRY",Yok,,,475000,485806.2,475000,570000,-2.224384950212659,20,Hatay İl Sağlık Müdürlüğü - Güzelburç Mah. Cabirağa Sk. No:78 | Antakya/Hatay,29.11.2023 14:30
2023/1246123,2023/1359874e-ihale,4 KISIM MUHTELİF  YAPIM İŞİ,Yapım - Pazarlık - Pazarlık (MD 21 B),Verilebilir,452100001,24.11.2023,Sonuç İlanı,ANTAKYA-ALTINÖZÜ-PAYAS-ERZİN- VE YAYLADAĞI,Hatay İl Sağlık Müdürlüğü - Güzelburç Mah. Cabirağa Sk. No:78 | Antakya/Hatay  - 29.11.2023 14:30,Sonuç İlanı Yayımlanmış,SAĞLIK BAKANLIĞI,BAKAN YARDIMCILIKLARI,İl Sağlık Müdürlüğü SAĞLIK BAKANLIĞI BAKAN YARDIMCILIKLARI,HATAY,,"475.000,00 TRY","485.806,20 TRY",,14.12.2023,"570.000,00 TRY","475.000,00 TRY",Yok,,,475000,485806.2,475000,570000,-2.224384950212659,20,Hatay İl Sağlık Müdürlüğü - Güzelburç Mah. Cabirağa Sk. No:78 | Antakya/Hatay,29.11.2023 14:30
2023/1270589,2023/1359874e-ihale,4 KISIM MUHTELİF  YAPIM İŞİ,Yapım - Pazarlık - Pazarlık (MD 21 B),Verilebilir,452100001,24.11.2023,Sonuç İlanı,ANTAKYA-ALTINÖZÜ-PAYAS-ERZİN- VE YAYLADAĞI,Hatay İl Sağlık Müdürlüğü - Güzelburç Mah. Cabirağa Sk. No:78 | Antakya/Hatay  - 29.11.2023 14:30,Sonuç İlanı Yayımlanmış,SAĞLIK BAKANLIĞI,BAKAN YARDIMCILIKLARI,İl Sağlık Müdürlüğü SAĞLIK BAKANLIĞI BAKAN YARDIMCILIKLARI,HATAY,,"475.000,00 TRY","485.806,20 TRY",,14.12.2023,"570.000,00 TRY","475.000,00 TRY",Yok,,,475000,485806.2,475000,570000,-2.224384950212659,20,Hatay İl Sağlık Müdürlüğü - Güzelburç Mah. Cabirağa Sk. No:78 | Antakya/Hatay,29.11.2023 14:30
2023/1234067,2023/1359874e-ihale,4 KISIM MUHTELİF  YAPIM İŞİ,Yapım - Pazarlık - Pazarlık (MD 21 B),Verilebilir,452100001,24.11.2023,Sonuç İlanı,ANTAKYA-ALTINÖZÜ-PAYAS-ERZİN- VE YAYLADAĞI,Hatay İl Sağlık Müdürlüğü - Güzelburç Mah. Cabirağa Sk. No:78 | Antakya/Hatay  - 29.11.2023 14:30,Sonuç İlanı Yayımlanmış,SAĞLIK BAKANLIĞI,BAKAN YARDIMCILIKLARI,İl Sağlık Müdürlüğü SAĞLIK BAKANLIĞI BAKAN YARDIMCILIKLARI,HATAY,,"475.000,00 TRY","485.806,20 TRY",,14.12.2023,"570.000,00 TRY","475.000,00 TRY",Yok,,,475000,485806.2,475000,570000,-2.224384950212659,20,Hatay İl Sağlık Müdürlüğü - Güzelburç Mah. Cabirağa Sk. No:78 | Antakya/Hatay,29.11.2023 14:30
2023/1034246,2023/1359874e-ihale,4 KISIM MUHTELİF  YAPIM İŞİ,Yapım - Pazarlık - Pazarlık (MD 21 B),Verilebilir,452100001,24.11.2023,Sonuç İlanı,ANTAKYA-ALTINÖZÜ-PAYAS-ERZİN- VE YAYLADAĞI,Hatay İl Sağlık Müdürlüğü - Güzelburç Mah. Cabirağa Sk. No:78 | Antakya/Hatay  - 29.11.2023 14:30,Sonuç İlanı Yayımlanmış,SAĞLIK BAKANLIĞI,BAKAN YARDIMCILIKLARI,İl Sağlık Müdürlüğü SAĞLIK BAKANLIĞI BAKAN YARDIMCILIKLARI,HATAY,,"475.000,00 TRY","485.806,20 TRY",,14.12.2023,"570.000,00 TRY","475.000,00 TRY",Yok,,,475000,485806.2,475000,570000,-2.224384950212659,20,Hatay İl Sağlık Müdürlüğü - Güzelburç Mah. Cabirağa Sk. No:78 | Antakya/Hatay,29.11.2023 14:30
2023/1041811,2023/1041811e-ihale,Kumlu Zeytindalı Gümrük Kapısı Tel Çit ve Mantar Bariyer Yapım İşi,Yapım - Pazarlık - Pazarlık (MD 21 B),Verilemez,452100001,11.10.2023,Sonuç İlanı,Kumlu/HATAY,Hatay Valiliği Yatırım İzleme ve Koordinasyon Başkanlığı Mustafa Kemal Üniversitesi Tayfur Sökmen Kampüsü Geçici Yerleşkesi - 16.10.2023 14:00,Sonuç İlanı Yayımlanmış,YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIKLARI,HATAY YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIĞI,YATIRIM İZLEME MÜDÜRLÜĞÜ YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIKLARI HATAY YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIĞI,HATAY,,"1.620.000,00 TRY","1.645.649,79 TRY",,03.11.2023,"1.620.000,00 TRY","1.620.000,00 TRY",Yok,,,1620000,1645649.79,1620000,1620000,-1.5586420729285322,0,Hatay Valiliği Yatırım İzleme ve Koordinasyon Başkanlığı Mustafa Kemal Üniversitesi Tayfur Sökmen Kampüsü Geçici Yerleşkesi,16.10.2023 14:00
2023/1070212,2023/1070212e-ihale,TC Gençlik ve Spor Bakanlığı Hatay İskenderun 762 Kişilik Modüler Çelik Öğrenci Yurdu ve Sosyal Tesis Yapım İşi,Yapım - Pazarlık - Pazarlık (MD 21 B),Verilemez,45000000,06.10.2023,Sonuç İlanı,İskenderun/HATAY,Hatay Valiliği Yatırım İzleme ve Koordinasyon Başkanlığı Mustafa Kemal Üniversitesi Tayfur Sökmen Kampüsü Geçici Yerleşkesi - 11.10.2023 17:00,Sonuç İlanı Yayımlanmış,YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIKLARI,HATAY YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIĞI,YATIRIM İZLEME MÜDÜRLÜĞÜ YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIKLARI HATAY YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIĞI,HATAY,,"347.633.750,00 TRY","380.225.793,57 TRY",,10.11.2023,"450.000.000,00 TRY","347.633.750,00 TRY",Yok,,,347633750,380225793.57,347633750,450000000,-8.571760285904896,29.446579913486538,Hatay Valiliği Yatırım İzleme ve Koordinasyon Başkanlığı Mustafa Kemal Üniversitesi Tayfur Sökmen Kampüsü Geçici Yerleşkesi,11.10.2023 17:00
2023/1066829,2023/1066829e-ihale,Karaçay Jandarma Karakol Komutanlığı Çevre İhata Duvarı Yapım İşi,Yapım - Pazarlık - Pazarlık (MD 21 B),Verilemez,452100001,05.10.2023,Sonuç İlanı,Samandağ / HATAY,Hatay Valiliği Yatırım İzleme ve Koordinasyon Başkanlığı Mustafa Kemal Üniversitesi Tayfur Sökmen Kampüsü Geçici Yerleşkesi - 11.10.2023 13:00,Sonuç İlanı Yayımlanmış,YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIKLARI,HATAY YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIĞI,YATIRIM İZLEME MÜDÜRLÜĞÜ YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIKLARI HATAY YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIĞI,HATAY,,"9.748.000,00 TRY","11.442.886,33 TRY",,31.10.2023,"11.290.000,00 TRY","9.748.000,00 TRY",Yok,,,9748000,11442886.33,9748000,11290000,-14.811702931597678,15.818629462453837,Hatay Valiliği Yatırım İzleme ve Koordinasyon Başkanlığı Mustafa Kemal Üniversitesi Tayfur Sökmen Kampüsü Geçici Yerleşkesi,11.10.2023 13:00
2023/1077422,2023/1077422e-ihale,Beton Asfalt Yol,Yapım - Pazarlık - Pazarlık (MD 21 B),Verilemez,452331202,05.10.2023,Sonuç İlanı,Payas İlçesi,Payas Belediyesi İhale Komisyonu Toplantı Odası - 10.10.2023 13:30,Sonuç İlanı Yayımlanmış,BELEDİYELER,,PAYAS BELEDİYESİ FEN İŞLERİ MÜDÜRLÜĞÜ,HATAY,,"44.299.062,50 TRY","44.732.736,25 TRY",,24.10.2023,"44.489.375,00 TRY","44.299.062,50 TRY",Yok,,,44299062.5,44732736.25,44299062.5,44489375,-0.9694773589889664,0.42960841439928893,Payas Belediyesi İhale Komisyonu Toplantı Odası,10.10.2023 13:30
2023/1052479,2023/1052479e-ihale,"Antakya İlçesi Demirköprü Muhtar Abdurrahman Çetiner İlkokulu, Serinyol Muhtar Yusuf Tatlı İlkokulu, Arsuz İlçesi Kaleköy İlkokulu Prefabrik Sınıfların Temel Onarım",Yapım - Pazarlık - Pazarlık (MD 21 B),Verilemez,452100001,29.09.2023,Sonuç İlanı,Antakya ve Arsuz İlçeleri,HATAY İL MİLLİ EĞİTİM MÜDÜRLÜĞÜ TOPLANTI SALONU- ZEYTİNDALI İLKOKULU/ORTAOKULU - 05.10.2023 13:00,Sonuç İlanı Yayımlanmış,MİLLİ EĞİTİM BAKANLIĞI,BAKAN YARDIMCILIKLARI,Hatay İl Milli Eğitim Müdürlüğü- MİLLİ EĞİTİM BAKANLIĞI BAKAN YARDIMCILIKLARI,HATAY,,"2.420.000,00 TRY","2.426.299,09 TRY",,16.10.2023,"2.420.000,00 TRY","2.420.000,00 TRY",Yok,,,2420000,2426299.09,2420000,2420000,-0.2596172098469464,0,HATAY İL MİLLİ EĞİTİM MÜDÜRLÜĞÜ TOPLANTI SALONU- ZEYTİNDALI İLKOKULU/ORTAOKULU,05.10.2023 13:00
2023/1052379,2023/1052379e-ihale,Antakya Şehit Gülşah Güler Anaokulu Mekanik Tesisat Onarım,Yapım - Pazarlık - Pazarlık (MD 21 B),Verilemez,452100001,29.09.2023,Sonuç İlanı,Antakya İlçesi,HATAY İL MİLLİ EĞİTİM MÜDÜRLÜĞÜ TOPLANTI SALONU- ZEYTİNDALI İLKOKULU/ORTAOKULU - 05.10.2023 11:00,Sonuç İlanı Yayımlanmış,MİLLİ EĞİTİM BAKANLIĞI,BAKAN YARDIMCILIKLARI,Hatay İl Milli Eğitim Müdürlüğü- MİLLİ EĞİTİM BAKANLIĞI BAKAN YARDIMCILIKLARI,HATAY,,"370.000,00 TRY","497.963,06 TRY",,16.10.2023,"597.449,49 TRY","370.000,00 TRY",Yok,,,370000,497963.06,370000,597449.49,-25.69729971536443,61.47283513513513,HATAY İL MİLLİ EĞİTİM MÜDÜRLÜĞÜ TOPLANTI SALONU- ZEYTİNDALI İLKOKULU/ORTAOKULU,05.10.2023 11:00
2023/1035187,2023/1035187e-ihale,"1923-KRG-BET-038, 1923-KRG-BET-072 VE 1923-KRG-BET-073 ALBÜM NUMARALI BİNALARIN BAKIM VE ONARIM İŞİ",Yapım - Pazarlık - Pazarlık (MD 21 B),Verilemez,452100001,27.09.2023,Sonuç İlanı,HATAY/ANTAKYA/SERİNYOL,2'NCİ HD.ALAY K.LIĞI ANTAKYA/HATAY - 03.10.2023 15:00,Sonuç İlanı Yayımlanmış,MİLLİ SAVUNMA BAKANLIĞI,MSB BAĞLILARI,8.KOMANDO TUGAY KOMUTANLIĞI MİLLİ SAVUNMA BAKANLIĞI MSB BAĞLILARI,HATAY,,"773.900,00 TRY","776.803,97 TRY",,10.10.2023,"784.000,00 TRY","773.900,00 TRY",Yok,,,773900,776803.97,773900,784000,-0.373835628054266,1.3050781754748675,2'NCİ HD.ALAY K.LIĞI ANTAKYA/HATAY,03.10.2023 15:00
2023/1033838,2023/1033838e-ihale,"8’İNCİ KOMDTUGKLIĞI 1923-DEP-YIĞ-149,1923-DEP-YIĞ-150 VE 1923-DEP-YIĞ-151 ALBÜM NUMARALI TAŞINMAZLARIN BAKIM VE ONARIMI",Yapım - Pazarlık - Pazarlık (MD 21 B),Verilemez,452100001,27.09.2023,Sonuç İlanı,HATAY/ANTAKYA/SERİNYOL,2'NCİ HD.ALAY K.LIĞI ANTAKYA/HATAY - 03.10.2023 11:00,Sonuç İlanı Yayımlanmış,MİLLİ SAVUNMA BAKANLIĞI,MSB BAĞLILARI,8.KOMANDO TUGAY KOMUTANLIĞI MİLLİ SAVUNMA BAKANLIĞI MSB BAĞLILARI,HATAY,,"750.000,00 TRY","758.281,69 TRY",,10.10.2023,"750.000,00 TRY","750.000,00 TRY",Yok,,,750000,758281.69,750000,750000,-1.0921653666726339,0,2'NCİ HD.ALAY K.LIĞI ANTAKYA/HATAY,03.10.2023 11:00
2023/1018058,2023/1018058e-ihale,HMKÜ PLAJ VOLEYBOL SAHASI VE BASKETBOL SAHALARI BAKIM ONARIM İNŞAATI İŞİ,Yapım - Pazarlık - Pazarlık (MD 21 B),Verilemez,45000000,25.09.2023,Sonuç İlanı,Hatay Mustafa Kemal Üniversitesi Yerleşkeleri Antakya/HATAY,"Hatay Mustafa Kemal Üniversitesi, Tayfur Sökmen Kampüsü,Yapı İşleri Ve Teknik Daire Başkanlığı, Antakya/HATAY - 29.09.2023 15:30",Sonuç İlanı Yayımlanmış,YÜKSEKÖĞRETİM KURUMLARI,HATAY MUSTAFA KEMAL ÜNİVERSİTESİ,Yapı İşleri ve Teknik Daire Başkanlığı YÜKSEKÖĞRETİM KURUMLARI HATAY MUSTAFA KEMAL ÜNİVERSİTESİ,HATAY,,"1.885.172,00 TRY","2.624.197,74 TRY",,19.10.2023,"3.098.483,00 TRY","1.885.172,00 TRY",Yok,,,1885172,2624197.74,1885172,3098483,-28.161968465074594,64.36075859391079,"Hatay Mustafa Kemal Üniversitesi, Tayfur Sökmen Kampüsü,Yapı İşleri Ve Teknik Daire Başkanlığı, Antakya/HATAY",29.09.2023 15:30
2023/1000357,2023/1000357e-ihale,"Hatay Orman Bölge Müdürlüğü, Antakya Orman İşletme Müdürlüğü, Hassa Orman İşletme Şefliği İdari Binası ve Hizmet Evleri Yapım İşi",Yapım - Pazarlık - Pazarlık (MD 21 B),Verilemez,452100001,21.09.2023,Sonuç İlanı,"Antakya Orman İşletme Müdürlüğü, Hassa Orman İşletme Şefliği İdari Binası Yerleşkesi",Antakya Orman İşletme Müdürlüğü - 29.09.2023 10:30,Sonuç İlanı Yayımlanmış,DİĞER ÖZEL BÜTÇELİ KURULUŞLAR,ORMAN GENEL MÜDÜRLÜĞÜ,Orman İşletme Müdürlüğü-Antakya DİĞER ÖZEL BÜTÇELİ KURULUŞLAR ORMAN GENEL MÜDÜRLÜĞÜ,HATAY,,"48.047.000,00 TRY","45.000.000,00 TRY",,06.10.2023,"49.100.000,00 TRY","48.047.000,00 TRY",Yok,,,48047000,45000000,48047000,49100000,6.771111111111111,2.191604054363436,Antakya Orman İşletme Müdürlüğü,29.09.2023 10:30
2023/998295,2023/998295e-ihale,HATAY ÇALIŞMA VE İŞ KURUMU İL MÜDÜRLÜĞÜ HİZMET BİNASI TADİLAT İŞİ,Yapım - Pazarlık - Pazarlık (MD 21 B),Verilemez,45000000,20.09.2023,Sonuç İlanı,Hatay Çalışma ve İş Kurumu İl Müdürlüğü Hizmet Binası,Hatay Çalışma ve İş Kurumu  İl Müdürlüğü Toplantı Salonu. - 27.09.2023 12:00,Sonuç İlanı Yayımlanmış,SOSYAL GÜVENLİK KURUMLARI,Türkiye İş Kurumu Genel Müdürlüğü,Hatay (Antakya) Çalışma ve İş Kurumu İl Müdürlüğü,HATAY,,"1.999.950,00 TRY","2.006.474,01 TRY",,03.10.2023,"2.100.000,00 TRY","1.999.950,00 TRY",Yok,,,1999950,2006474.01,1999950,2100000,-0.3251479943166575,5.00262506562664,Hatay Çalışma ve İş Kurumu  İl Müdürlüğü Toplantı Salonu.,27.09.2023 12:00
2023/971510,2023/971510e-ihale,HMKU AYSEL SABUNCU POLİKLİNİK BİNASI TERAS YALITIMI VE DIŞ CEPHE TADİLATLARI BAKIM ONARIM İNŞAATI İŞİ,Yapım - Pazarlık - Pazarlık (MD 21 B),Verilemez,45000000,14.09.2023,Sonuç İlanı,Hatay Mustafa Kemal Üniversitesi Yerleşkeleri Antakya/HATAY,"Hatay Mustafa Kemal Üniversitesi, Tayfur Sökmen Kampüsü,Yapı İşleri Ve Teknik Daire Başkanlığı, Antakya/HATAY - 26.09.2023 15:00",Sonuç İlanı Yayımlanmış,YÜKSEKÖĞRETİM KURUMLARI,HATAY MUSTAFA KEMAL ÜNİVERSİTESİ,Yapı İşleri ve Teknik Daire Başkanlığı YÜKSEKÖĞRETİM KURUMLARI HATAY MUSTAFA KEMAL ÜNİVERSİTESİ,HATAY,,"6.712.733,50 TRY","6.342.482,52 TRY",,16.10.2023,"9.324.709,60 TRY","6.712.733,50 TRY",Yok,,,6712733.5,6342482.52,6712733.5,9324709.6,5.837635008570753,38.91076712638748,"Hatay Mustafa Kemal Üniversitesi, Tayfur Sökmen Kampüsü,Yapı İşleri Ve Teknik Daire Başkanlığı, Antakya/HATAY",26.09.2023 15:00
2023/989385,2023/989385e-ihale,"HATAY ÇEVRE, ŞEHİRCİLİK VE İKLİM DEĞİŞİKLİĞİ İL MÜDÜRLÜĞÜ GEÇİCİ HİZMET BİNASI YAPIM İŞİ",Yapım - Pazarlık - Pazarlık (MD 21 B),Verilemez,45223810,18.09.2023,Sonuç İlanı,ANTAKYA/HATAY,"TAYFUR SÖKMEN KAMPÜSÜ ÇEVRE, ŞEHİRCİLİK VE İKLİM DEĞİŞİKLİĞİ İL MÜDÜRLÜĞÜ YERLEŞKESİ - 22.09.2023 17:00",Sonuç İlanı Yayımlanmış,"ÇEVRE, ŞEHİRCİLİK VE İKLİM DEĞİŞİKLİĞİ BAKANLIĞI",BAKAN YARDIMCILIKLARI,"HATAY ÇEVRE, ŞEHİRCİLİK VE İKLİM DEĞİŞİKLİĞİ İL MÜDÜRLÜĞÜ ÇEVRE, ŞEHİRCİLİK VE İKLİM DEĞİŞİKLİĞİ BAKANLIĞI BAKAN YARDIMCILIKLARI",HATAY,,"16.200.000,00 TRY","16.769.070,25 TRY",,13.10.2023,"19.700.000,00 TRY","16.200.000,00 TRY",Yok,,,16200000,16769070.25,16200000,19700000,-3.393570672172478,21.604938271604937,"TAYFUR SÖKMEN KAMPÜSÜ ÇEVRE, ŞEHİRCİLİK VE İKLİM DEĞİŞİKLİĞİ İL MÜDÜRLÜĞÜ YERLEŞKESİ",22.09.2023 17:00
2023/983826,2023/983826e-ihale,Belen OİŞ Gedik Yangına Müdahale Ekip Binası Tesisat Tamirat işi,Yapım - Pazarlık - Pazarlık (MD 21 B),Verilemez,452100001,15.09.2023,Sonuç İlanı,"Hatay İli Belen İlçesi Gedik Mahallesi, İskenderun Orman İşletme Müdürlüğü Belen Orman İşletme Şefliği sınırlarında",İskenderun Orman İşletme Müdürlüğü Müdür Yardımcısı odasında - 21.09.2023 14:00,Sonuç İlanı Yayımlanmış,DİĞER ÖZEL BÜTÇELİ KURULUŞLAR,ORMAN GENEL MÜDÜRLÜĞÜ,İskenderun Orman İşletme Müdürlüğü DİĞER ÖZEL BÜTÇELİ KURULUŞLAR ORMAN GENEL MÜDÜRLÜĞÜ,HATAY,,"1.390.000,00 TRY","1.397.170,72 TRY",,27.09.2023,"1.390.000,00 TRY","1.390.000,00 TRY",Yok,,,1390000,1397170.72,1390000,1390000,-0.5132314825492458,0,İskenderun Orman İşletme Müdürlüğü Müdür Yardımcısı odasında,21.09.2023 14:00
2023/981062,2023/981062e-ihale,Ek Hizmet Birimi Yapım İşi,Yapım - Pazarlık - Pazarlık (MD 21 B),Verilemez,45000000,15.09.2023,Sonuç İlanı,Hatay İli Antakya İlçesi Ulaşım Dairesi Başkanlığının yerleşkesi,Antakya Expo Alanı B Blok Zemin Kat - Destek Hizmetleri Dairesi Başkanlığı İhale Şube Müdürlüğünde toplanılacaktır. - 21.09.2023 11:30,Sonuç İlanı Yayımlanmış,BELEDİYELER,,HATAY BÜYÜKŞEHİR BELEDİYESİ SATIN ALMA DAİRESİ BAŞKANLIĞI,HATAY,,"3.805.000,00 TRY","3.862.051,20 TRY",,12.10.2023,"3.805.000,00 TRY","3.805.000,00 TRY",Yok,,,3805000,3862051.2,3805000,3805000,-1.4772253666652628,0,Antakya Expo Alanı B Blok Zemin Kat - Destek Hizmetleri Dairesi Başkanlığı İhale Şube Müdürlüğünde toplanılacaktır.,21.09.2023 11:30
2023/945294,2023/945294e-ihale,Geçici Barınma Alanı Yapım İşi,Yapım - Pazarlık - Pazarlık (MD 21 B),Verilemez,"452100001, 452322103, 45262640, 453140009, 453322001, 453323001, 45342000",14.09.2023,Sonuç İlanı,Hatay İli Antakya İlçesi Ulaşım Dairesi Başkanlığının yerleşkesi,Antakya Expo Alanı B Blok Zemin Kat - Destek Hizmetleri Dairesi Başkanlığı İhale Şube Müdürlüğünde toplanılacaktır. - 20.09.2023 15:30,Sonuç İlanı Yayımlanmış,BELEDİYELER,,HATAY BÜYÜKŞEHİR BELEDİYESİ SATIN ALMA DAİRESİ BAŞKANLIĞI,HATAY,,"1.302.000,00 TRY","1.396.832,45 TRY",,12.10.2023,"1.345.100,00 TRY","1.302.000,00 TRY",Yok,,,1302000,1396832.45,1302000,1345100,-6.789107025685147,3.310291858678956,Antakya Expo Alanı B Blok Zemin Kat - Destek Hizmetleri Dairesi Başkanlığı İhale Şube Müdürlüğünde toplanılacaktır.,20.09.2023 15:30
2023/950893,2023/950893e-ihale,HMKÜ MERKEZİ DERSLİK İNŞAATI YAPIM İŞİ,Yapım - Pazarlık - Pazarlık (MD 21 B),Verilemez,45000000,10.09.2023,Sonuç İlanı,"Hatay Mustafa Kemal Üniversitesi, Tayfur Sökmen Kampüsü,Yapı İşleri Ve Teknik Daire Başkanlığı, Antakya/HATAY","Hatay Mustafa Kemal Üniversitesi, Tayfur Sökmen Kampüsü,Yapı İşleri Ve Teknik Daire Başkanlığı, Antakya/HATAY - 19.09.2023 17:00",Sonuç İlanı Yayımlanmış,YÜKSEKÖĞRETİM KURUMLARI,HATAY MUSTAFA KEMAL ÜNİVERSİTESİ,Yapı İşleri ve Teknik Daire Başkanlığı YÜKSEKÖĞRETİM KURUMLARI HATAY MUSTAFA KEMAL ÜNİVERSİTESİ,HATAY,,"187.900.000,00 TRY","166.009.042,66 TRY",,04.10.2023,"189.000.000,00 TRY","187.900.000,00 TRY",Yok,,,187900000,166009042.66,187900000,189000000,13.186605373560562,0.5854177754124534,"Hatay Mustafa Kemal Üniversitesi, Tayfur Sökmen Kampüsü,Yapı İşleri Ve Teknik Daire Başkanlığı, Antakya/HATAY",19.09.2023 17:00
2023/973335,2023/973335e-ihale,İskenderun Fatih Sultan Mehmet Anadolu Lisesi Onarım,Yapım - Pazarlık - Pazarlık (MD 21 B),Verilemez,452100001,14.09.2023,Sonuç İlanı,İskenderun İlçesi,HATAY İL MİLLİ EĞİTİM MÜDÜRLÜĞÜ DESTEK HİZMETLERİ ŞUBESİ - 19.09.2023 14:30,Sonuç İlanı Yayımlanmış,MİLLİ EĞİTİM BAKANLIĞI,BAKAN YARDIMCILIKLARI,Hatay İl Milli Eğitim Müdürlüğü- MİLLİ EĞİTİM BAKANLIĞI BAKAN YARDIMCILIKLARI,HATAY,,"2.584.343,00 TRY","3.324.024,84 TRY",,05.10.2023,"2.649.512,82 TRY","2.584.343,00 TRY",Yok,,,2584343,3324024.84,2584343,2649512.82,-22.252596644253714,2.5217171250101025,HATAY İL MİLLİ EĞİTİM MÜDÜRLÜĞÜ DESTEK HİZMETLERİ ŞUBESİ,19.09.2023 14:30
